word,sentiment,lexicon,score
a-cort-di-liquid,negative,bing,-1
malincuor,negative,bing,-2
abbandon,negative,bing,-2
abbatt,negative,bing,-1
abbozz,negative,bing,-1
abbrut,negative,bing,-1
abissal,negative,bing,-1
abiss,negative,bing,-1
abomin,negative,bing,-3
abominevol,negative,bing,-3
abras,negative,bing,-1
abus,negative,bing,-1
accan,negative,bing,-1
accartocc,negative,bing,-1
accatto-nagg,negative,bing,-1
accec,negative,bing,-1
accidental,negative,bing,-1
accident,negative,bing,-1
accus,negative,bing,-1
accusator,negative,bing,-1
acid,negative,bing,-1
acre,negative,bing,-1
acrimon,negative,bing,-1
addolor,negative,bing,-2
adesc,negative,bing,-1
adulter,negative,bing,-1
affam,negative,bing,-1
affatic,negative,bing,-1
afflitt,negative,bing,-1
afflizion,negative,bing,-1
affoll,negative,bing,-2
affond,negative,bing,-1
affrant,negative,bing,-2
affront,negative,bing,-1
aggrav,negative,bing,-2
aggression,negative,bing,-3
aggress,negative,bing,-3
aggressor,negative,bing,-3
aggrott-le-sopraccigl,negative,bing,-1
aggrovigl,negative,bing,-1
aggu,negative,bing,-1
agit,negative,bing,-1
agon,negative,bing,-1
agonizz,negative,bing,-1
alien,negative,bing,-1
all'oscur,negative,bing,-1
allarm,negative,bing,-1
allerg,negative,bing,-1
allocc,negative,bing,-1
allucin,negative,bing,-2
allusion,negative,bing,-1
alterc,negative,bing,-1
altezz,negative,bing,-1
alto-e-dinoccol,negative,bing,-1
alzat-di-spall,negative,bing,-1
amar,negative,bing,-2
amarezz,negative,bing,-2
ambigu,negative,bing,-1
ambivalent,negative,bing,-1
ammacc,negative,bing,-1
ammaccatur,negative,bing,-1
ammal,negative,bing,-1
amministr-mal,negative,bing,-1
ammon,negative,bing,-1
ammonitor,negative,bing,-1
ammonizion,negative,bing,-1
ammortizz,negative,bing,-1
ampoll,negative,bing,-1
amput,negative,bing,-1
a-nalfabet,negative,bing,-1
a-narc,negative,bing,-1
anem,negative,bing,-1
angosc,negative,bing,-2
angust,negative,bing,-2
animos,negative,bing,-1
annacqu,negative,bing,-1
anneg,negative,bing,-1
annichil,negative,bing,-1
annid,negative,bing,-1
annient,negative,bing,-1
annod,negative,bing,-1
annoi,negative,bing,-1
annull,negative,bing,-1
anomal,negative,bing,-1
anormal,negative,bing,-1
ansi,negative,bing,-1
ansios,negative,bing,-1
antagon,negative,bing,-1
antagonist,negative,bing,-1
anti,negative,bing,-1
anti-americ,negative,bing,-1
anti-bianc,negative,bing,-1
anti-israel,negative,bing,-1
anti-occup,negative,bing,-1
anti-social,negative,bing,-1
antieconom,negative,bing,-1
antipat,negative,bing,-3
antiqu,negative,bing,-1
antisem,negative,bing,-1
antitet,negative,bing,-1
apat,negative,bing,-2
apocaliss,negative,bing,-1
apocalitt,negative,bing,-1
apologet,negative,bing,-1
appal,negative,bing,-1
appann,negative,bing,-1
appass,negative,bing,-1
appell,negative,bing,-1
append,negative,bing,-1
appiccic,negative,bing,-1
apprension,negative,bing,-1
apprens,negative,bing,-1
approssim,negative,bing,-1
arbitrar,negative,bing,-1
arcaic,negative,bing,-1
arcan,negative,bing,-1
ardu,negative,bing,-1
arpi,negative,bing,-1
arrabb,negative,bing,-2
arrend,negative,bing,-2
arrest,negative,bing,-1
arretratezz,negative,bing,-2
arring,negative,bing,-1
arrog,negative,bing,-2
arrogant,negative,bing,-2
arruff,negative,bing,-1
arruggin,negative,bing,-2
artific,negative,bing,-1
aspett-negat,negative,bing,-2
aspr,negative,bing,-1
assalg,negative,bing,-1
assalt,negative,bing,-1
